PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Inhibition
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Normalized percent inhibition of the primary screen at a compound concentration of 6 micromolar.
RESULT_UNIT,,,,,,,PERCENT
RESULT_ATTR_CONC_MICROMOL,,,,,,,6
1,842353,644611,Active,26,,,21.34
2,842393,644661,Active,15,,,12.3
3,843085,645365,Active,71,,,57.07
4,843208,645492,Active,31,,,25.4
5,845167,647501,Active,20,,,16.79
6,846007,648374,Active,15,,,12.43
7,846350,648736,Active,25,,,20.16
8,847003,649398,Active,39,,,31.6
9,847359,597363,Active,46,,,37.4
10,847463,649868,Active,18,,,14.62
11,847588,649992,Active,15,,,12.57
12,848837,651293,Active,15,,,12.35
13,849297,651774,Active,28,,,22.98
14,849971,652480,Active,15,,,12.73
15,851897,654498,Active,25,,,20.29
16,853290,655942,Active,32,,,25.92
17,856111,657485,Active,36,,,28.95
18,858624,659929,Active,27,,,21.85
19,859300,6602830,Active,30,,,24.13
20,859604,660907,Active,17,,,14.22
21,860204,661510,Active,15,,,12.31
22,863690,664943,Active,17,,,14.09
23,863849,665102,Active,18,,,14.56
24,865468,666722,Active,16,,,12.96
25,3711170,2997527,Active,17,,,14.31
26,3712111,2348921,Active,55,,,44.29
27,3713735,2097351,Active,16,,,13.62
28,3714360,2998767,Active,19,,,15.92
29,3714591,2108058,Active,16,,,13.33
30,3715076,2310813,Active,18,,,14.84
31,3716169,2323124,Active,17,,,13.9
32,3717392,2999977,Active,27,,,21.81
33,3717723,2121076,Active,24,,,19.42
34,4240582,3235672,Active,23,,,18.58
35,4242609,3237441,Active,16,,,13.57
36,4242774,3237586,Active,56,,,45.58
37,4244480,3239069,Active,17,,,13.97
38,4245749,3240186,Active,15,,,12.41
39,4248348,3242436,Active,15,,,12.55
40,4250507,3244307,Active,16,,,13.62
41,4251951,3245569,Active,17,,,14.01
42,4255208,930620,Active,18,,,15.05
43,4255238,893627,Active,17,,,14.12
44,4256508,1188014,Active,19,,,15.85
45,4258588,5741945,Active,20,,,16.21
46,4259348,880528,Active,71,,,57.14
47,4260274,638860,Active,72,,,58.61
48,4261064,1249482,Active,16,,,13.14
49,4261360,1299520,Active,16,,,13.33
50,7966556,948801,Active,40,,,32.63
51,7968850,2925127,Active,20,,,16.41
52,7973891,805223,Active,15,,,12.77
53,7975174,1160939,Active,29,,,23.65
54,8139897,3037,Active,16,,,12.97
55,14718690,4377849,Active,15,,,12.69
56,14719153,4395364,Active,17,,,14.43
57,14723875,460749,Active,22,,,18.1
58,14725513,3206295,Active,34,,,27.86
59,14725720,3206178,Active,17,,,14.23
60,14726701,705256,Active,63,,,51.17
61,14727509,900806,Active,18,,,15.04
62,14728954,9549963,Active,18,,,14.5
63,14729445,5918347,Active,19,,,15.47
64,14730808,2966450,Active,22,,,18.11
65,14732355,9550250,Active,15,,,12.7
66,14736510,2917531,Active,16,,,13.2
67,14737549,9551063,Active,15,,,12.25
68,14740088,2057165,Active,17,,,14.19
69,14740696,1120962,Active,31,,,25.19
70,14742908,4371580,Active,55,,,44.22
71,14743467,930290,Active,15,,,12.8
72,14744335,2320755,Active,15,,,12.33
73,14744406,2417657,Active,68,,,55.1
74,14745741,1189783,Active,15,,,12.6
75,14746567,4181547,Active,18,,,14.9
76,16952893,3686662,Active,24,,,19.73
77,17385722,3590295,Active,15,,,12.41
78,17386164,1007780,Active,15,,,12.44
79,17387471,9563955,Active,28,,,22.63
80,17401333,1008368,Active,15,,,12.37
81,17401475,4077726,Active,17,,,14.01
82,17401826,1907744,Active,16,,,13.58
83,17403492,826461,Active,15,,,12.58
84,17403591,1117371,Active,15,,,12.74
85,17406684,3962842,Active,15,,,12.79
86,17407916,778154,Active,16,,,13.43
87,17407993,3091264,Active,16,,,13.15
88,17408025,9563422,Active,15,,,12.55
89,17408483,615593,Active,18,,,14.48
90,17408805,1083882,Active,37,,,30.17
91,17408960,7314640,Active,16,,,13.19
92,17409047,3197965,Active,53,,,43.33
93,17409268,3202425,Active,40,,,32.8
94,17410082,3293421,Active,20,,,16.36
95,17410512,1632360,Active,17,,,14.04
96,17410957,1475477,Active,20,,,16.84
97,17411587,9566932,Active,15,,,12.8
98,17412005,5341357,Active,17,,,13.73
99,17412484,9566958,Active,16,,,13.11
100,17412497,5735038,Active,28,,,23.1
101,17412676,2294766,Active,16,,,13.17
102,17412961,5734490,Active,18,,,14.79
103,17412962,799395,Active,22,,,17.92
104,17413286,2829992,Active,15,,,12.75
105,17413361,5734448,Active,27,,,21.82
106,17413735,2963113,Active,47,,,38.2
107,17413872,2974727,Active,21,,,16.99
108,17414134,5509654,Active,46,,,37.45
109,17415251,2898209,Active,16,,,13
110,17415335,1327906,Active,17,,,13.76
111,17415449,1295791,Active,16,,,13.37
112,17415535,1295693,Active,15,,,12.54
113,17415799,2890716,Active,16,,,12.86
114,17415879,1010988,Active,17,,,13.96
115,17415883,1341336,Active,19,,,15.71
116,17432029,970829,Active,17,,,13.9
117,17504153,3640363,Active,16,,,13.34
118,17504373,1975036,Active,24,,,19.34
119,17504708,859620,Active,94,,,75.78
120,17504819,738894,Active,26,,,21.24
121,17504927,2301119,Active,18,,,14.54
122,17505456,135497987,Active,16,,,12.92
123,17508548,2928698,Active,16,,,12.95
124,17508646,859639,Active,24,,,19.51
125,17509719,4381126,Active,26,,,21.18
126,17509939,4330749,Active,26,,,21.25
127,17510666,12005302,Active,17,,,13.91
128,17512671,3735802,Active,42,,,34.48
129,17513585,722579,Active,33,,,26.53
130,17514671,3774350,Active,15,,,12.77
131,17514753,2134372,Active,20,,,16.2
132,17515015,2147111,Active,16,,,13.14
133,17515023,9557232,Active,15,,,12.48
134,17515261,3257857,Active,15,,,12.56
135,17515361,5399054,Active,17,,,13.69
136,17515918,2106192,Active,16,,,13.14
137,17516410,4447969,Active,17,,,13.88
138,17517377,4961648,Active,17,,,14.26
139,17517478,2454965,Active,19,,,15.99
140,22400507,2849510,Active,19,,,16.07
141,22403583,2561190,Active,21,,,17.56
142,22404029,1121490,Active,24,,,19.91
143,22405882,3878400,Active,24,,,19.78
