PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.053 uM,Activity at 0.263 uM,Activity at 1.320 uM,Activity at 6.580 uM,Activity at 32.90 uM,Compound QC
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,0.053,0.263,1.32,6.58,32.9,
1,842629,644901,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000075475-01,,Activator,10,68.6308,,Partial curve; partial efficacy,-5,4.4495,0.9996,67.3794,-1.2514,2.2,0 0 0 0,67.0882,,-1.9559,-0.3888,7.7408,67.0882,QC'd by Asinex Ltd.
2,842944,645215,Active,46,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000033825-01,,Activator,3.9811,124.653,,Partial curve; high efficacy,-5.4,3.9295,1,128.48,3.8273,2.1,0 0 0,113.298,,3.9466,5.2919,113.298,,QC'd by DPISMR
3,845658,6602672,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000035351-01,,Activator,7.0795,79.8827,,Partial curve; partial efficacy,-5.15,1.8851,0.9982,78.3623,-1.5205,2.2,0 0 0 0,74.3748,,0.4881,-0.0638,35.647,74.3748,QC'd by DPISMR
4,845898,6602686,Active,47,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000032804-01,,Activator,3.9811,140.944,,Partial curve; high efficacy,-5.4,3.9295,1,144.659,3.7152,2.1,0 0 0 1,4.8003,,3.7254,5.3875,127.566,4.8003,QC'd by DPISMR
5,848264,650702,Active,43,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000071088-01,,Activator,15.8489,186.039,,Partial curve; high efficacy,-4.8,4.9549,0.9999,193.324,7.285,2.1,0 0 0 0,188.425,,6.2997,8.6305,9.8278,188.425,QC'd by DPISMR
6,848549,650998,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000031967-01,,Activator,11.2202,77.7254,,Partial curve; partial efficacy,-4.95,4.5045,0.9992,80.3746,2.6492,2.2,0 0 0 0,79.8607,,3.9591,1.3522,8.7637,79.8607,QC'd by Asinex Ltd.
7,851071,6603604,Active,42,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000030122-01,,Activator,14.1254,127.067,,Partial curve; high efficacy,-4.85,4.5045,0.9971,128.127,1.0604,2.1,0 0 0 0,125.615,,5.2666,-2.8636,5.415,125.615,QC'd by DPISMR
8,851665,654248,Active,48,http://assay.nih.gov/htsws/rest/display/plp-yeast-p1/MLS000074700-01,,Activator,1.7783,128.26,,Partial curve; high efficacy,-5.75,1.9673,1,123.734,-4.5261,2.1,0 0 0 1,-3.3069,,-1.3567,41.4724,114.569,-3.3069,QC'd by DPISMR
