PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
1,845413,647754,Active,90,,,2
2,852550,655173,Active,90,,,2
3,856753,658111,Active,90,,,2
4,3712493,2998040,Active,90,,,2
5,4242489,2155600,Active,90,,,2
6,4242961,3237751,Active,90,,,2
7,4245724,3240162,Active,90,,,2
8,4246376,3240730,Active,90,,,2
9,4247206,2772318,Active,90,,,2
10,4248779,3242810,Active,90,,,2
11,4250775,6997824,Active,90,,,2
12,7970587,4357675,Active,90,,,2
13,7976181,2876915,Active,90,,,2
14,7978456,2872121,Active,90,,,2
15,14719157,11834505,Active,90,,,2
16,14719358,791713,Active,90,,,2
17,14720783,3168140,Active,90,,,2
18,14722406,3192828,Active,90,,,2
19,14722953,2876575,Active,90,,,2
20,14723030,1090312,Active,90,,,2
21,14725435,1933179,Active,90,,,2
22,14725949,3228248,Active,90,,,2
23,14726485,3227838,Active,90,,,2
24,14727275,1096383,Active,90,,,2
25,14727750,4578120,Active,90,,,2
26,14727943,135473444,Active,90,,,2
27,14728115,9774488,Active,90,,,2
28,14728431,5080495,Active,90,,,2
29,14729497,6884713,Active,90,,,2
30,14729501,6884492,Active,90,,,2
31,14729716,9616533,Active,90,,,2
32,14730318,2948031,Active,90,,,2
33,14732183,5190015,Active,90,,,2
34,14734282,9550593,Active,90,,,2
35,14735088,1287415,Active,90,,,2
36,14738287,9551365,Active,90,,,2
37,14740725,3688563,Active,90,,,2
38,14743084,5624298,Active,90,,,2
39,14743181,932597,Active,90,,,2
40,14745739,4403355,Active,90,,,2
41,14746238,135422608,Active,90,,,2
42,14746802,918318,Active,90,,,2
43,16952607,6905901,Active,90,,,2
44,16952782,2371253,Active,90,,,2
45,16952871,1090056,Active,90,,,2
46,16953203,2373994,Active,90,,,2
47,16953230,2377815,Active,90,,,2
48,16953274,2439838,Active,90,,,2
49,17386274,135490280,Active,90,,,2
50,17388357,838383,Active,90,,,2
51,17401785,135510946,Active,90,,,2
52,17402177,1483132,Active,90,,,2
53,17403111,1473245,Active,90,,,2
54,17410022,1472470,Active,90,,,2
55,17411622,5405847,Active,90,,,2
56,17413774,9564164,Active,90,,,2
57,17416235,2885266,Active,90,,,2
58,17431607,693371,Active,90,,,2
59,17431915,135425007,Active,90,,,2
