PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
1,842944,645215,Inactive,10,,,
2,843711,646013,Inactive,10,,,
3,844509,646836,Inactive,10,,,
4,845129,135431429,Inactive,10,,,
5,845649,648004,Inactive,10,,,
6,846605,648996,Inactive,10,,,
7,846735,649129,Inactive,10,,,
8,848264,650702,Inactive,10,,,
9,848549,650998,Inactive,10,,,
10,848649,651101,Inactive,10,,,
11,849587,652087,Inactive,10,,,
12,851071,6603604,Inactive,10,,,
13,851285,653848,Inactive,10,,,
14,851665,654248,Inactive,10,,,
15,851682,6602636,Inactive,10,,,
16,852124,654733,Inactive,10,,,
17,855612,3308,Inactive,10,,,
18,855832,65327,Inactive,10,,,
19,855924,5311067,Inactive,10,,,
20,855955,5485201,Inactive,10,,,
21,856320,555630,Inactive,10,,,
22,856632,657987,Inactive,10,,,
23,857883,659227,Inactive,10,,,
24,858292,659630,Inactive,10,,,
25,858602,659909,Inactive,10,,,
26,858749,660055,Inactive,10,,,
27,859076,5389246,Inactive,10,,,
28,859751,661055,Inactive,10,,,
29,859975,6603009,Inactive,10,,,
30,860107,661409,Inactive,10,,,
31,860676,661953,Inactive,10,,,
32,860822,662101,Inactive,10,,,
33,861120,662385,Inactive,10,,,
34,861136,662399,Inactive,10,,,
35,861194,662451,Inactive,10,,,
36,864766,666007,Inactive,10,,,
37,3711854,135415401,Inactive,10,,,
38,3712307,2997975,Inactive,10,,,
39,3712441,2107696,Inactive,10,,,
40,3713379,2998389,Inactive,10,,,
41,3713620,2128947,Inactive,10,,,
42,3714794,2128432,Inactive,10,,,
43,3715814,763016,Inactive,10,,,
44,3716164,2999499,Inactive,10,,,
45,3717116,9554685,Inactive,10,,,
46,3717802,2318726,Inactive,10,,,
47,4240543,3235639,Inactive,10,,,
48,4240942,3235979,Inactive,10,,,
49,4240966,3236003,Inactive,10,,,
50,4243774,3238455,Inactive,10,,,
51,4244665,3239235,Inactive,10,,,
52,4244684,3239254,Inactive,10,,,
53,4244854,3239399,Inactive,10,,,
54,4245219,3239714,Inactive,10,,,
55,4245266,3239757,Inactive,10,,,
56,4245663,3240109,Inactive,10,,,
57,4246137,3240521,Inactive,10,,,
58,4247108,2062124,Inactive,10,,,
59,4247272,3241501,Inactive,10,,,
