smiles	cid
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O	163829
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2	5846454
C(C(N1CCCCC1)c1ccccc1)c1ccccc1	206666
CC(C)NCC(O)COc1cc(C)ccc1Cl	20497006
CN1CCN(CC1)C(C)=O	550758
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1	6538897
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	72258
CCn1c2ccccc2[nH]c1=O	82320
CCN1CCCC1=O	17595
CCCCCCCCCCCCCCCC=O	984
CCCCCCCCCCCCCCCCO	2682
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	4877
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	68406
CCCCCCCCO	957
NC(=N)NC(=N)Nc1ccccc1	4780
CCNCCCNCCCCNCCCNCC	4283
BrC1C(Br)C(Br)C(Br)C(Br)C1Br	74603
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1	128784
OCCCCO	8064
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	6474640
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C	154272
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	10521421
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	97226
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O	1271002
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O	27924
CC(=N)NCc1cccc(CN)c1	1433
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	5283066
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	6010
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O	5702072
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1	25068278
CCCCCCCCCCCC([N+][O-])c1cc(C)ccc1O	54108714
C[C@@H](N)[C@@H](O)c1ccccc1	26934
OC(=O)CCC(CCCS)C(O)=O	10198171
ClC=C1Nc2sc3CCCCc3c2C(=O)N1	
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1	127902
Nc1ccccc1S(N)(=O)=O	72894
NCCOB(c1ccccc1)c1ccccc1	1598
C1CN=C(N1)c1cc2ccccc2o1	3080926
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	123807
Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	8974
Clc1cnccn1	73277
CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12	32224
N#Cc1ncccn1	2757979
CN([N+][O-])C(=O)NC(C=O)C(O)C(O)C(O)CO	5299
OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O	9062
CCOc1ccccc1C(O)=O	67252
CCCC(O)C(CC)CO	7211
OCC1OC(O)C(F)C(O)C1O	315411
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O	
OCCOC(=O)c1ccccc1O	6880
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O	91649
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1	1564
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12	128878
OC(=O)CNC(=O)c1ccccc1I	8614
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1	115348
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O	66414
Cc1[nH]c2ccc(O)cc2c1CCN	1574
Cc1ccc(cc1O)[N+]([O-])=O	93576
Cc1ncc[nH]1	12749
CCCCCCCCCCC(CO)CCCCCCCC	21414
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO	5319879
OC(=O)CCC(=O)C(O)=O	51
CC(=O)C(O)=O	1060
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1	4018512
O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12	
NCCc1ccccn1	75919
Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O	6069552
Oc1ccnc(S)n1	1269845
CC1(C)[C@@H]2CC[C@@]1(C)[C@H](O)[C@@H]2O	11768995
CC1(C)C2CC1[C@](C)(O)[C@H](O)C2	12518181
OCCNCCCOc1cccc(Cl)c1Cl	2250975
[O-][N+](=O)c1ccc(Cl)c(c1)[N+]([O-])=O	6
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O	1493
OCc1ccc(CO)o1	74663
CC1CCCC(C)N1	68843
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(O)nc(N)nc12	135433495
C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc12	10475082
CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@@H]3CC[C@]12C	25749233
Cc1ccc(cc1)\C=C1\C2CCC(C)(C1=O)C2(C)C	6440721
