smiles	title
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O	Bhsar-SP
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2	Chloroallyl methenamine
C(C(N1CCCCC1)c1ccccc1)c1ccccc1	Diphenidine
CC(C)NCC(O)COc1cc(C)ccc1Cl	1-(2-Chloro-5-methylphenoxy)-3-[(propan-2-yl)amino]propan-2-ol
CN1CCN(CC1)C(C)=O	1-Acetyl-4-methylpiperazine
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1	1-Azakenpaullone
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	1-Deoxymannojirimycin
CCn1c2ccccc2[nH]c1=O	1-Ethyl-2-benzimidazolinone
CCN1CCCC1=O	1-Ethyl-2-pyrrolidinone
CCCCCCCCCCCCCCCC=O	Hexadecanal
CCCCCCCCCCCCCCCCO	1-Hexadecanol
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	1-(Tert-Butyl)-3-(naphthalen-1-yl)-1H-pyrazolo[3,4-d]pyrimidin-4-amine
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	1-Octacosanol
CCCCCCCCO	1-Octanol
NC(=N)NC(=N)Nc1ccccc1	1-Phenylbiguanide
CCNCCCNCCCCNCCCNCC	N(1), N(12)-Diethylspermine
BrC1C(Br)C(Br)C(Br)C(Br)C1Br	1,2,3,4,5,6-Hexabromocyclohexane
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1	1,3-Dipropyl-8-phenylxanthine
OCCCCO	1,4-Butanediol
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	1,3-Dicaffeoylquinic acid
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C	10-Deacetylbaccatin III
