smiles	cid
CC(C)NC[C@H](O)C1=C(Cl)C=CC=C1	36688586
CN(CC#C)CC1=CC=CC=C1	4688
CCCCCNCC(N)=O	53569
OCCCNC1=CC=CC=C1	410467
CC1=CC(OC[C@H]2CNC(=O)O2)=CC(C)=C1	25271694
CCOC1=C(C=CC=C1)C(O)=O	67252
OC1=C(Cl)C=C(Cl)C2=CC=CN=C12	2722
CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O	69550
CN1C2=C(N(CCO)C=N2)C(=O)N(C)C1=O	1892
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	2519
NC(=O)C1=CC2=C(NC=C2)C=C1	14973220
O=S(=O)(N1CCCNCC1)C1=CC=CC2=CN=CC=C12	3547
COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)[C@@H]1CCCO1	969465
OC(=O)COCCN1CCN(CC1)[C@@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	150716
CC1=CC=C2C(Cl)=CC(Cl)=C(O)C2=N1	6301
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1	896
CC1OC2=C(CC1N(C)C)C=CC=C2	32142
NC(=O)C1=CC(N)=CC=C1	1645
NCCC1=NC=CC=C1	75919
N#CC1=NC=CC=N1	2757979
COC1=CC2=C(C=C1)N=C(N2)SCC1=NC=C(C)C(OC)=C1C	155794
CCOC1=C(OC[C@H]2CNCCO2)C=CC=C1	12226596
CC1=CC(O)=CC(C)=C1Cl	2723
C1CNCCN1	4837
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	6305
OC(=O)[C@@H]1CCCN1	145742
CC1=C(O)C=C(C=C1)[N+]([O-])=O	93576
NC1=NC=CS1	2155
NCCCCN	1045
OCC1=C(O)C=CC=C1	5146
CC(C)C1=CC=CC(C(C)C)=C1O	4943
OCCOCCOC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1	35375
S1C2=C(C=CC=C2)C2=C1C=CC=C2	3023
N1C2=C(SC3=C1C=CC=C3)C=CC=C2	7108
CCC(=O)C1=CC=C(O)C=C1	6271
N[C@@H](CCC(O)=O)C(O)=O	33032
CC(C)C[C@H](N)C(O)=O	6106
CSCC[C@H](N)C(O)=O	6137
CC(=O)OCC(COC(C)=O)OC(C)=O	5541
NCC1(CC(O)=O)CCCCC1	3446
COC1=CC(=CC(OC)=C1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)C2=C1C=C1OCOC1=C2	10607
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	79025
[O-][N+](=O)C1=C2NN=CC2=CC=C1	1893
CC(C)(O)C(Cl)(Cl)Cl	5977
