smiles	title
CC(C)NC[C@H](O)C1=C(Cl)C=CC=C1	(R)-Clorprenaline
CN(CC#C)CC1=CC=CC=C1	Pargyline
CCCCCNCC(N)=O	Milacemide
OCCCNC1=CC=CC=C1	3-Anilino-1-propanol
CC1=CC(OC[C@H]2CNC(=O)O2)=CC(C)=C1	(5R)-5-[(3,5-Dimethylphenoxy)methyl]-1,3-oxazolidin-2-one
CCOC1=C(C=CC=C1)C(O)=O	2-Ethoxybenzoic acid
OC1=C(Cl)C=C(Cl)C2=CC=CN=C12	Chloroxine
CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O	Acefylline
CN1C2=C(N(CCO)C=N2)C(=O)N(C)C1=O	Etofylline
CN1C=NC2=C1C(=O)N(C)C(=O)N2C	Caffeine
NC(=O)C1=CC2=C(NC=C2)C=C1	1H-Indole-5-carboxamide
O=S(=O)(N1CCCNCC1)C1=CC=CC2=CN=CC=C12	Fasudil
COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)[C@@H]1CCCO1	[4-(4-Amino-6,7-dimethoxy-2-quinazolinyl)-1-piperazinyl]-[(2S)-2-oxolanyl]methanone
OC(=O)COCCN1CCN(CC1)[C@@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	(S)-Cetirizine
CC1=CC=C2C(Cl)=CC(Cl)=C(O)C2=N1	Chlorquinaldol
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1	Melatonin
CC1OC2=C(CC1N(C)C)C=CC=C2	Trebenzomine
NC(=O)C1=CC(N)=CC=C1	3-Aminobenzamide
NCCC1=NC=CC=C1	2-(2-Aminoethyl)pyridine
N#CC1=NC=CC=N1	2-Cyanopyrimidine
COC1=CC2=C(C=C1)N=C(N2)SCC1=NC=C(C)C(OC)=C1C	Ufiprazole
CCOC1=C(OC[C@H]2CNCCO2)C=CC=C1	(R)-Viloxazine
CC1=CC(O)=CC(C)=C1Cl	Chloroxylenol
C1CNCCN1	Piperazine
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	Tryptophan
OC(=O)[C@@H]1CCCN1	L-Proline
CC1=C(O)C=C(C=C1)[N+]([O-])=O	2-Methyl-5-nitrophenol
NC1=NC=CS1	2-Aminothiazole
NCCCCN	Putrescine
OCC1=C(O)C=CC=C1	Salicyl alcohol
CC(C)C1=CC=CC(C(C)C)=C1O	Propofol
OCCOCCOC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1	Etofenamate
S1C2=C(C=CC=C2)C2=C1C=CC=C2	Dibenzothiophene
N1C2=C(SC3=C1C=CC=C3)C=CC=C2	Phenothiazine
CCC(=O)C1=CC=C(O)C=C1	Paroxypropione
N[C@@H](CCC(O)=O)C(O)=O	Glutamic acid
CC(C)C[C@H](N)C(O)=O	Leucine
CSCC[C@H](N)C(O)=O	Methionine
CC(=O)OCC(COC(C)=O)OC(C)=O	Triacetin
NCC1(CC(O)=O)CCCCC1	Gabapentin
COC1=CC(=CC(OC)=C1OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@@H](O)C2=C1C=C1OCOC1=C2	Podofilox
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	alpha-D-Glucose
[O-][N+](=O)C1=C2NN=CC2=CC=C1	7-Nitroindazole
CC(C)(O)C(Cl)(Cl)Cl	Chlorobutanol
CC1=C(CCCl)SC=N1	Clomethiazole
CCC(C)(C)C(O)=O	2,2-Dimethylbutyric acid
CNCC(O)=O	Sarcosine
OCCN(CCO)C1=NC(N2CCCCC2)=C2N=C(N=C(N3CCCCC3)C2=N1)N(CCO)CCO	Dipyridamole
OC(=O)[C@@H]1CCC(=O)N1	L-Pyroglutamic acid
OC(=O)CCCCCCCCC(O)=O	Sebacic acid
CCCCCCC1=C(O)C=C(O)C=C1	Hexylresorcinol
C[C@@H](O)[C@H](N)C(O)=O	L-Threonine
OC1=CC=C(Cl)C=C1	4-Chlorophenol
COC1=CC=C(O)C=C1	4-Methoxyphenol
O[C@H]([C@@H](O)C(O)=O)C(O)=O	L(+)-Tartaric acid
CCCCCCCCO	1-Octanol
COC1=C(O)C=CC=C1	Guaiacol
C=CC(=O)NC1=CC=CC=C1	N-Phenylacrylamide
CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	N-Acetyl-L-tyrosine
COC1=CC=CC(NC(=O)C=C)=C1	N-(3-Methoxyphenyl)prop-2-enamide
OC(=O)C1=C(S)C=CC=C1	Thiosalicylic acid
N[C@@H](CS)C(O)=O	Cysteine
N[C@@H](CC(N)=O)C(O)=O	Asparagine
N[C@H](CC1=CNC=N1)C(O)=O	D-Histidine
O=C1NCCN[C@H]1C1=CC=CS1	(R)-3-Thiophen-2-YL-piperazin-2-one
CCC(C)C(N)C(O)=O	DL-Isoleucine
COC1=CC=C(NC(=O)C=C)C=C1	N-(4-Methoxyphenyl)acrylamide
NC1=NC(=C(Br)C(=O)N1)C1=CC=CC=C1	Bropirimine
N[C@H](CO)C(O)=O	D-Serine
C[C@@H](CC1=CC=CC=C1)N(C)CC#C	(+)-Selegiline
[Cl-].CC(C)(C)CC(C)(C)C1=CC=C(OCCOCC[N+](C)(C)CC2=CC=CC=C2)C=C1	Benzethonium chloride
NC(CO)(CO)CO	2-Amino-2-hydroxymethyl-propane-1,3-diol
CC(C)C1=CC(Cl)=C(C)C=C1O	Chlorothymol
NCCS(O)(=O)=O	Taurine
O=C1NC2=C(N1)C(=O)NC(=O)N2	Uric acid
FC(F)(F)C1=CC(=CC=C1)[C@@H]1CNCCO1	(R)-2-(3-(Trifluoromethyl)phenyl)morpholine
CC1CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1	Melperone
C1CN=C(N1)C1=NC2=CC=CC=C2N=C1	2-(4,5-Dihydro-1H-imidazol-2-yl)quinoxaline
CC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O1)[N+]([O-])=O	2-[(4-Methylphenyl)sulfonyl]-5-nitrofuran
ClC1=CC=C(C=C1)C(=O)N(CC1=CC=CC=C1)C1CCCCC1	Fps-ZM1
NC[C@H](CC(O)=O)C1=CC=CC=C1	(R)-4-Amino-3-phenylbutanoic acid
CC(C)C[C@H](NC(C)=O)C(O)=O	N-Acetyl-L-leucine
OC(=O)C1=CC2=C(N1)C=CO2	4H-Furo[3,2-b]pyrrole-5-carboxylic acid
CCCC(CCC)C(=O)NCC(N)=O	Valrocemide
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	
CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O	
CC(=O)OC1=C(C=CC=C1)C(=O)NC1=NC=C(S1)[N+]([O-])=O	Nitazoxanide
[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O	Nitisinone
CCN(CC)C(=S)SSC(=S)N(CC)CC	Disulfiram
CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1	Risperidone
CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N	Anastrozole
COC1=CC(CC2=C(N)N=C(N)N=C2)=CC(OC)=C1OC	Trimethoprim
CCCC1=NN(C)C2=C1N=C(NC2=O)C1=C(OCC)C=CC(=C1)S(=O)(=O)N1CCN(C)CC1	Sildenafil
COC1=CN=C(NS(=O)(=O)C2=CC=C(N)C=C2)N=C1	Sulfameter
CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	Milrinone
NC[C@H](CC(O)=O)C1=CC=C(Cl)C=C1	Arbaclofen
Cl.CN1CCC[C@@H]1CCOC(C)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	
