PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,SMILES
14723875,460749,Active,CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)Cl)C
26670673,601670,Active,C1=CC2=C(C=C1C(=O)O)SC=N2
845167,647501,Active,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C
47200678,676085,Active,C1=CC=C(C(=C1)C=CC(=O)NC2=CN=CC=C2)Cl
24801258,677475,Active,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl
49669782,741948,Active,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Cl
24805687,761840,Active,C1=CC=C2C(=C1)N=NN2CC(=O)C3=CC=C(C=C3)Br
47196538,887990,Active,C1=CC(=C(C(=C1)Cl)C=CC(=O)NC2=CN=CC=C2)F
7966556,948801,Active,CN1C=NC2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)Cl
17401333,1008368,Active,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4
24836082,1177253,Active,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)C=CC3=CC=CS3
49717936,1304219,Active,CC1=C(C=C(C=C1)C(=O)O)NC(=S)NC(=O)C2=CC=C(C=C2)COC3=CC=CC=C3
17412676,2294766,Active,C1=CC=C(C(=C1)C(=O)NC2=CC(=C(C=C2)OCC(C(F)F)(F)F)C(F)(F)F)O
47202252,2965851,Active,C1=CC=C2C(=C1)C(=C(N2)C(=O)O)C(C3=C(C=CC(=C3)Br)O)C4=C(NC5=CC=CC=C54)C(=O)O
3717392,2999977,Active,CC1=CC=C(C=C1)C(=O)OC2=CC3=C(C=C2)N(C=N3)C
49667911,4621376,Active,CCCCOC1=CC=C(C=C1)C(=O)OC2=CN=CC=C2
859300,6602830,Active,C1=CC(=CN=C1)OC(=O)C2=CC=C(C=C2)Cl.Cl
49818186,24817254,Active,CC1=CC=C(C=C1)C(=O)C2=C3C=CC=CC3=[N+](N2CCC(=O)N)[O-]
87915542,44634770,Active,CC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC(C)(C)C)C(=O)C3=CC=CO3
93373773,45382022,Active,CC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3
93373781,45382030,Active,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NS(=O)(=O)C)C(=O)CN3C4=CC=CC=C4N=N3
93373782,45382031,Active,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3
93373783,45382032,Active,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3
93373784,45382033,Active,CCNC(=O)C1CCN(CC1)C(=O)C2CC(CN2)O
93373786,45382035,Active,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43
93373787,45382036,Active,CC(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C=NC4=CC=CC=C43
99289103,46861521,Active,CC(C)(C)C(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3
99289104,46861522,Active,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CC3)C(=O)CN4C5=CC=CC=C5N=N4
99289106,46861524,Active,CC(C)(C)NC(=O)C(C1=CSC=C1)N(C2=CC=C(C=C2)NC(=O)C3CCCCC3)C(=O)CN4C5=CC=CC=C5N=N4
