cid	title
460749	3-(4-Chloro-phenyl)-1,6-dimethyl-1H-pyrimido[5,4-e][1,2,4]triazine-5,7-dione
601670	Benzothiazole-6-carboxylic acid
647501	1-Ethyl-6-methyl-3-phenyl-1H-pyrimido[5,4-e][1,2,4]triazine-5,7-dione
676085	(E)-3-(2-Chlorophenyl)-N-pyridin-3-ylprop-2-enamide
677475	2-(Benzotriazol-1-yl)-1-(4-chlorophenyl)ethanone
741948	Benzimidazol-1-yl-(3,4-dimethylphenyl)methanone
761840	2-(Benzotriazol-1-yl)-1-(4-bromophenyl)ethanone
887990	3-(2-Chloro-6-fluorophenyl)-N-3-pyridinylacrylamide
948801	4-Chloro-N-(1-methyl-1H-benzimidazol-5-yl)benzamide
1008368	(4-Methoxyphenyl)-(2-methylsulfanyl-6,7-dihydro-[1,4]dioxino[2,3-f]benzimidazol-3-yl)methanone
1177253	(E)-4-Phenyl-2-(3-(thiophen-2-yl)acrylamido)thiophene-3-carboxylic acid
1304219	4-Methyl-3-[[4-(phenoxymethyl)benzoyl]carbamothioylamino]benzoic acid
2294766	2-Hydroxy-N-[4-(2,2,3,3-tetrafluoropropoxy)-3-(trifluoromethyl)phenyl]benzamide
2965851	3-[(5-Bromo-2-hydroxyphenyl)-(2-carboxy-1H-indol-3-yl)methyl]-1H-indole-2-carboxylic acid
2999977	(1-Methylbenzimidazol-5-yl) 4-methylbenzoate
4621376	Pyridin-3-yl 4-butoxybenzoate
6602830	CID 6602830
24817254	2-(3-Amino-3-oxopropyl)-3-(4-methylbenzoyl)-2H-indazole 1-oxide
44634770	N-[2-(Tert-butylamino)-2-oxo-1-pyridin-3-ylethyl]-N-(4-propan-2-ylphenyl)furan-2-carboxamide
45382022	2-(4-Acetamido-N-[2-(benzotriazol-1-yl)acetyl]anilino)-N-tert-butyl-2-thiophen-3-ylacetamide
