smile,training_smile,hit,similarity
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,C1C[C@H]2C(=O)N[C@H](C(=O)N2C1)CC3=CC=CC=C3,0,0.7463235294117647
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,C[N+]12CN3CN(C1)CN(C3)C2.[I-],0,0.4482758620689655
C(C(N1CCCCC1)c1ccccc1)c1ccccc1,C1=CC=C(C=C1)CC(C2=CC=CC=C2)NC(=O)CCl,0,0.5964523281596452
CC(C)NCC(O)COc1cc(C)ccc1Cl,CC1=CC(=C(C=C1)Cl)OCC(CN(CCO)CCO)O,0,0.8897435897435897
CN1CCN(CC1)C(C)=O,CCC(=O)NCCN1CCN(CC1)C(=O)CC,0,0.725925925925926
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,C1CCN(CC1)C(=O)C(=O)C2=C(NC3=CC=CC=C32)C4=CC=CC=C4,0,0.602555003548616
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,C1[C@@H]([C@H]([C@@H]([C@H](N1CCO)CO)O)O)O,0,0.8017492711370262
CCn1c2ccccc2[nH]c1=O,CCCN1C2=CC=CC=C2NC1=O,0,0.9155844155844156
CCN1CCCC1=O,CCCCC(=O)N(CCC)CCC,0,0.6911764705882353
CCCCCCCCCCCCCCCC=O,C(CCCC(=O)O)CCCC(=O)O,0,0.5185185185185185
CCCCCCCCCCCCCCCCO,C(CCCC(=O)O)CCCC(=O)O,0,0.5185185185185185
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,CC(C)(C)N1C2=NC=NC(=C2C(=N1)C3=CC=C(C=C3)Cl)N,0,0.9238721804511278
CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,C(CCCC(=O)O)CCCC(=O)O,0,0.5185185185185185
CCCCCCCCO,C(CCCC(=O)O)CCCC(=O)O,0,0.5185185185185185
NC(=N)NC(=N)Nc1ccccc1,CC1(N=C(NC(=N1)NC2=CC=CC=C2)N)C,0,0.49865951742627346
CCNCCCNCCCCNCCCNCC,C1CNCCNCCCNCCNC1,0,0.4838709677419355
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,CC1(C2(CCC1([C@@H]2Br)C(=O)N)C(Br)Br)C,0,0.13382899628252787
CCCn1c2[nH]c(nc2c(=O)n(CCC)c1=O)-c1ccccc1,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC=CC=C3,0,0.8397435897435898
OCCCCO,C(CC(=O)O)CN,0,0.30434782608695654
O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O,C1C(C(C(CC1(C(=O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)OC(=O)/C=C/C3=CC(=C(C=C3)O)O)O,0,0.950207468879668
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O,0,1.0
CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12,C1CCN(CC1)CC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,0,0.6429463171036205
CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,0,0.9905838041431262
CCc1ccc(cc1)\C=C1\SC(=S)NC1=O,C1=CC=C2C=C(C=CC2=C1)/C=C\3/C(=O)NC(=S)S3,0,0.8225190839694656
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1O)O)OC(=O)C5=CC=CC=C5)(CO4)OC(=O)C)O)C)O,0,0.6637863315003928
CC(=N)NCc1cccc(CN)c1,CC1=CC(=CC=C1)CNCC2=CC=CC=C2.Cl,0,0.6010362694300518
CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,CCCCC(C)(C/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCCCCC(=O)OC)O)O,0,0.7764705882352941
C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,0,1.0
CCCCCC(=O)O[C@@]1(CCC2C3CCC4=CC(=O)CC[C@]4(C)C3CC[C@]12C)C(C)=O,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C,0,1.0
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1,C1C(CC(=O)C=C1C2=CC=CC=C2)/C=C/C3=CC=CC=C3,0,0.49096385542168675
CCCCCCCCCCCC([N+][O-])c1cc(C)ccc1O,CC1=CC(=C(C(=C1)C2(CCCCC2)C)O)CN(C)C,0,0.512
C[C@@H](N)[C@@H](O)c1ccccc1,C[C@H]([C@@H](C1=CC=CC=C1)O)NC,0,0.8451327433628318
OC(=O)CCC(CCCS)C(O)=O,CC1(CC(CC(C1)(C)C(=O)O)(C)C(=O)O)C(=O)O,0,0.5897435897435898
ClC=C1Nc2sc3CCCCc3c2C(=O)N1,C1CCC2=C(C1)C3=C(S2)NC(NC3=O)C4=CC=NC=C4,0,0.7834441980783444
C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1,COC1=CC=C(C=C1)CN2CCN(CC2)C3=NC4=CC=CC=C4S3,0,0.8580024067388689
Nc1ccccc1S(N)(=O)=O,C1=CC=C(C=C1)S(=O)(=O)[NH-].[Na+],0,0.5708333333333333
NCCOB(c1ccccc1)c1ccccc1,[B-](C1=CC=CC=C1)(C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.CCN(CC)C(=O)[N+]1=CC=C(C=C1)OC,0,0.2254335260115607
