smile,training_smile,hit,similarity
CC(C)NC[C@H](O)C1=C(Cl)C=CC=C1,C1=CC=C(C=C1)CCNCC(C2=CC=CC=C2)O,0,0.5705128205128205
CN(CC#C)CC1=CC=CC=C1,CN(CC#C)CC1=CC=CC=C1.Cl,0,1.0
CCCCCNCC(N)=O,CC(=O)NCCCCCCNC(=O)C,0,0.5494505494505495
OCCCNC1=CC=CC=C1,C1=CC=C(C=C1)NCCCNC2=CC=CC=C2,0,0.7846153846153846
CC1=CC(OC[C@H]2CNC(=O)O2)=CC(C)=C1,CC1=C(C(=CC=C1)C)OCC2CNC(=O)O2,0,0.7899543378995434
CCOC1=C(C=CC=C1)C(O)=O,C1=CC=C(C=C1)OCCOC2=CC=CC=C2C(=O)O,0,0.9017857142857143
OC1=C(Cl)C=C(Cl)C2=CC=CN=C12,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,0,1.0
CN1C2=C(N(CC(O)=O)C=N2)C(=O)N(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)OC,0,0.9811946902654868
CN1C2=C(N(CCO)C=N2)C(=O)N(C)C1=O,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CCO,0,1.0
CN1C=NC2=C1C(=O)N(C)C(=O)N2C,CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C,0,0.9452054794520548
NC(=O)C1=CC2=C(NC=C2)C=C1,C1=CC=C2C(=C1)C3=C(N2)C=CC(=C3)C(=O)NCCO,0,0.7218390804597701
O=S(=O)(N1CCCNCC1)C1=CC=CC2=CN=CC=C12,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3.Cl,0,1.0
COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)[C@@H]1CCCO1,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC,0,1.0
OC(=O)COCCN1CCN(CC1)[C@@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl,0,1.0
CC1=CC=C2C(Cl)=CC(Cl)=C(O)C2=N1,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1,0,0.826007326007326
COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,0,0.9261862917398945
CC1OC2=C(CC1N(C)C)C=CC=C2,CCCC1=CC=CC=C1OCCNC(=O)C,0,0.49572649572649574
NC(=O)C1=CC(N)=CC=C1,C1=CC(=CC(=C1)N)C(=O)NCCNC(=O)C2=CC(=CC=C2)N,0,0.657243816254417
NCCC1=NC=CC=C1,CNCCC1=CC=CC=N1.Cl,0,0.8674698795180723
N#CC1=NC=CC=N1,C1=C(N=C(N=C1N)CS)N,0,0.27403846153846156
COC1=CC2=C(C=C1)N=C(N2)SCC1=NC=C(C)C(OC)=C1C,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,0,0.8736964078794901
CCOC1=C(OC[C@H]2CNCCO2)C=CC=C1,CCOC1=CC=CC=C1OCC(CNC)O,0,0.7492163009404389
CC1=CC(O)=CC(C)=C1Cl,CC1=CC(=CC(=C1Cl)C)OCCNCCO,0,0.6185567010309279
C1CNCCN1,C(CNCCNCCN)N.Cl,0,0.6666666666666666
N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,CCC(CC1=CNC2=CC=CC=C21)N.CC(=O)O,0,0.8276515151515151
OC(=O)[C@@H]1CCCN1,C1CC(=O)NC1C(=O)O,0,0.6635514018691588
CC1=C(O)C=C(C=C1)[N+]([O-])=O,COC1=C(C=CC(=C1)[N+](=O)[O-])N,0,0.521505376344086
NC1=NC=CS1,CC1=CSC(=N1)N,0,0.5982905982905983
NCCCCN,C(CC(=O)O)CN,0,0.30434782608695654
OCC1=C(O)C=CC=C1,C1=CC=C(C(=C1)C(=O)O)O,0,0.6582914572864321
CC(C)C1=CC=CC(C(C)C)=C1O,CC1=CC(=C(C(=C1)C(C)(C)C)O)C(C)(C)C,0,0.8543307086614174
OCCOCCOC(=O)C1=C(NC2=CC=CC(=C2)C(F)(F)F)C=CC=C1,C1=CC=C(C(=C1)C(=O)O)NC2=CC=CC(=C2)C(F)(F)F,0,0.7866419294990723
S1C2=C(C=CC=C2)C2=C1C=CC=C2,C1=CC=C2C(=C1)C3=C(S2)C=C(C=C3)N,0,0.6996336996336996
N1C2=C(SC3=C1C=CC=C3)C=CC=C2,C1=CC=C2C(=C1)NC3=CC=CC=C3S2,0,1.0
CCC(=O)C1=CC=C(O)C=C1,CCC(=O)C1=CC=C(C=C1)O,0,1.0
N[C@@H](CCC(O)=O)C(O)=O,C(CC(=O)O)C(C(=O)O)N.Cl,0,1.0
CC(C)C[C@H](N)C(O)=O,C(CC(=O)O)C(C(=O)O)N.Cl,0,0.6147540983606558
CSCC[C@H](N)C(O)=O,C(CC(=O)O)C(C(=O)O)N.Cl,0,0.4068965517241379
CC(=O)OCC(COC(C)=O)OC(C)=O,CCCCCCCC(=O)OCC(CO)O,0,0.42328042328042326
NCC1(CC(O)=O)CCCCC1,C1CCC(CC1)(CC(=O)O)CN,0,1.0
